student_id,python,java,c,cpp,web_dev,dsa,ml,dl,stats,sql,data_visualization,cloud,git,linux,communication,teamwork,problem_solving,leadership,creativity,time_management,age,cgpa,course,year,learning_hours,internships,certifications
1,6.993428306022466,5.152480635954594,4.643010539025557,5.713153567082141,6.696572495333637,6.341747057493964,2.0388560648791865,7.82819556682233,5.056284903397198,8.09956494475251,6.196412291358114,6.999469869128487,6.157675519336271,8.835112802806554,6.640304815678929,4.243115898100471,7.328002154307619,9.153846240367095,7.921789130995224,4.982362187562101,19,7.48,ECE,3,2.0,3,9
2,5.72347139765763,5.093171783232292,5.389001073892694,5.93468819251938,6.566647185071333,6.024510861263083,3.890028706126256,9.248974373869851,8.0254049420312,4.438934483634212,5.871783542246793,5.144652550331152,7.125794966370117,4.289024289056217,8.230923201256447,7.237762027369559,5.407767902635815,6.676376019144034,5.260070526499077,4.0974670388002465,21,8.64,ECE,3,2.2,3,4
3,7.295377076201385,2.40871365473997,4.805237877909715,6.128589757175163,4.126960308389018,5.137689867165271,4.825943187414828,6.691034542565725,5.603626305395364,8.398807285750635,7.9035815120390716,6.494253642438,6.682203906566746,9.344390218886968,2.9895236206487428,3.742280091478293,5.866827181793957,3.190179188876033,4.840838217093886,5.789955740054646,19,8.58,CSE,2,3.3,3,7
4,9.046059712816051,5.339819616597126,6.220836093892239,7.89372292329236,7.159168443527476,5.994946678304426,6.299337821849383,5.489758079980163,6.181138529435279,5.877748548799241,9.065662282852442,3.089264020003652,3.444171603614165,5.143779672940479,9.479211331636666,8.314901113493706,5.649235257728868,7.425793747413152,7.8666243162299,6.7040649815607685,22,7.06,CSE,4,0.8,1,3
5,5.531693250553328,7.46565816364349,8.394357062923826,4.5055653830265125,3.019834648846764,6.9816832509858875,8.048324653213756,3.8665503646531563,7.434781213275435,7.712306377484617,7.3736938882692336,10.0,5.627559395944146,4.978999759410815,6.6601735685525325,4.50437331829806,7.028107361192671,6.018725551203568,1.0,5.545799844814448,23,8.03,ECE,4,1.9,0,6
6,5.531726086101639,3.4515357618464098,4.457915685717591,4.30730601697468,4.691631348479342,5.747675742042321,7.388271886743529,5.774969687973416,5.882073186302119,4.465376068625346,8.023087502340926,6.829506420675728,7.305559098168488,5.178035624219842,6.219452817799169,7.480707343987203,6.572260932240532,5.435018719232145,3.449175350795094,6.41692892408618,24,7.41,Cyber,2,1.9,3,5
7,9.158425631014783,8.096965302101186,8.001640995536828,8.473239484285951,2.0018243742043844,6.839535260460548,3.641350403105029,6.406252655301109,2.364304283340282,2.0663098235983477,5.5651915353871715,9.414986986490344,6.836080644875859,2.0974350787387337,4.096830401822282,6.752527721073549,9.812639874506498,7.039262668543312,6.485305810530939,3.495145640929167,23,7.79,ECE,1,2.1,0,4
8,7.534869458305818,6.9755496421686765,4.436655855306225,5.0747105162374035,9.117253033925628,4.326662443153905,5.256575475668695,3.0738558544536083,8.081175009107096,2.702380243206978,6.250809612278269,5.467791548442275,4.436259158905551,5.154972411253652,4.726320435236034,4.057857837348177,5.23171300333627,4.443975703182757,7.6760639360710545,6.5975944110367815,23,7.46,CSE,3,2.9,1,4
9,5.061051228130096,4.531533356057924,4.304745575006232,3.4739292928458676,5.536901012109409,4.792212697708591,6.1527511774051336,7.842945857013578,8.509857659830104,10.0,8.97146414719928,3.9002667654866263,6.8318069485288815,8.622012027823109,5.244913670682673,8.421085959590059,9.585704555130517,5.619516753880045,7.693551972059677,7.516178030812551,25,7.19,DS,1,4.4,3,4
10,7.085120087171929,5.716940725324305,7.637189236686426,5.02974011580026,10.0,4.5313589934520495,5.475585751107001,5.152172007382681,2.337767816799113,4.804119403975966,7.053422920516457,5.016913248646032,7.82977850360888,6.954706121038628,3.1482922018712927,9.840923471985153,2.376512348203229,4.961444215554072,1.0,6.552295956275385,25,6.71,CSE,1,1.8,3,2
